"Reference","Stage","Reviewer","Decision","Reason","At"
"R-70","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:26.101Z"
"R-71","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:19.878Z"
"R-71","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:29.697Z"
"R-72","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:23.079Z"
"R-72","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:34.559Z"
"R-73","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:26.164Z"
"R-73","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:38.350Z"
"R-74","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:29.149Z"
"R-74","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:40.744Z"
"R-75","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:31.294Z"
"R-75","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:42.421Z"
"R-76","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:34.072Z"
"R-76","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:45.992Z"
"R-77","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:37.594Z"
"R-77","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:48.993Z"
"R-78","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:41.422Z"
"R-78","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:51.407Z"
"R-79","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:45.784Z"
"R-79","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:53.779Z"
"R-80","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:49.253Z"
"R-80","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:55.734Z"
"R-81","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:55.325Z"
"R-81","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:57.595Z"
"R-82","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:02.841Z"
"R-82","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:59.787Z"
"R-83","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:05.255Z"
"R-83","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:01.624Z"
"R-84","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:10.340Z"
"R-84","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:03.487Z"
"R-85","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:12.201Z"
"R-85","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:05.599Z"
"R-86","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:15.347Z"
"R-86","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:15.789Z"
"R-87","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:18.788Z"
"R-87","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:18.368Z"
"R-88","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:22.108Z"
"R-88","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:20.238Z"
"R-89","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:23.773Z"
"R-89","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:21.999Z"
"R-90","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:26.493Z"
"R-90","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:24.153Z"
"R-91","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:29.152Z"
"R-91","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:26.239Z"
"R-92","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:31.381Z"
"R-92","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:28.430Z"
"R-93","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:34.785Z"
"R-93","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:31.443Z"
"R-94","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:38.640Z"
"R-94","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:33.690Z"
"R-95","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:41.001Z"
"R-95","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:35.842Z"
"R-96","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:43.283Z"
"R-96","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:38.092Z"
"R-97","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:45.954Z"
"R-97","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:40.684Z"
"R-98","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:48.185Z"
"R-98","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:42.664Z"
"R-99","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:50.875Z"
"R-99","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:45.597Z"
"R-100","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:54.316Z"
"R-100","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:49.254Z"
"R-101","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:56.617Z"
"R-101","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:51.443Z"
